"job_id","sentence"
"JFD23005515","Echter dit houdt ook in dat je in staat moet zijn om om te kunnen omgaan met een werkdruk die soms behoorlijk op kan lopen"
"JFD23005515","Zo wordt er van je verwacht dat je ieder jaar tenminste een opleiding doet"
"JFD23005515","beschikt over de drive om te leren en jezelf te ontwikkelen"
"JFD23005515","analytisch sterk bent en zaken snel kunt oppakken"
"JFD23005515","klantvriendelijk bent"
"JFD23005515","over minimaal een HBO diploma beschikt"
"JFD23005537","MBO HBO opleiding"
"JFD23005537","Goede en up to date kennis van Microsoft .net ontwikkelomgeving"
"JFD23005537","c asp.net sql server"
"JFD23005537","minimaal 1 jaar programmeer ervaring"
"JFD23005537","Doorzettingsvermogen"
"JFD23005537","Flexibele werkhouding"
"JFD23005845","Ben jij innovatief gemotiveerd technisch en analytisch zeer sterk en werk je graag bij een gezellig bedrijf dan is deze vacature gemaakt voor jou"
"JFD23005845","De ideale kandidaat will altijd op de hoogte zijn van de nieuwste ontwikkelingen binnen zijn vakgebied en werkt graag met de modernste technologieen"
"JFD23005845","Aantoonbare relevante werkervaring met C en .NET 4.0"
"JFD23005845","Ervaring met ASP.NET"
"JFD23005845","MVC JSCRIPT HTML en of CSS3"
"JFD23005845","Kennis van Silverlight is een enorme pre"
"JFD23005845","Kennis van Entity Framework NServiceBus SQL Server is een pre"
